,game_id,starting_nfelo_home,starting_nfelo_away,hfa_mod,home_bye_mod,away_bye_mod,div_game_mod,dif_surface_mod,home_time_advantage_mod,home_538_qb_adj,away_538_qb_adj,home_net_qb_mod,home_net_bye_mod,nfelo_dif_base,nfelo_dif_open,nfelo_dif_close,nfelo_home_line_open,nfelo_home_line_close,nfelo_home_probability_close,nfelo_home_probability_open,nfelo_home_cover_prob_close,nfelo_home_push_prob_close,nfelo_home_loss_prob_close,nfelo_away_cover_prob_close,nfelo_away_push_prob_close,nfelo_away_loss_prob_close,home_open_ev,away_open_ev,home_close_ev,away_close_ev,home_clv_from_open,away_clv_from_open,home_line_open,home_line_open_price,away_line_open_price,home_line_close,home_line_close_price,away_line_close_price,total_line_open,under_price_open,over_price_open,total_line_close,under_price_close,over_price_close,home_implied_win_probability_open,home_implied_win_probability_close,hfa_base_mod
12,2009_01_LAR_SEA,1443.0,1347.0,34.3,0.0,-0.0,-28.2,0.0,0.0,-14.1159,-10.5583,-3.5576,0.0,126.7424,152.3243,170.9399,-5.5,-6.5,0.7279,0.7062,0.4108,0.0,0.5892,0.5892,0.0,0.4108,-0.2149,0.1313,-0.2158,0.1249,0.0675,-0.0693,-7.0,,,-7.5,,,,,,41.0,,,0.7498,0.7642,62.5
13,2009_01_CHI_GB,1502.0,1525.0,34.3,0.0,-0.0,-28.2,0.0,0.0,8.4565,34.2427,-25.7862,0.0,-14.4862,24.0061,101.0424,-1.0,-3.5,0.6414,0.5345,0.4346,0.0208,0.5446,0.5446,0.0208,0.4346,-0.2396,0.1567,-0.1495,0.0605,0.1839,-0.1858,-3.0,,,-5.0,,,,,,47.0,,,0.6155,0.6865,62.5
14,2009_01_BUF_NE,1608.0,1452.0,34.3,0.0,-0.0,-28.2,0.0,0.0,22.267,2.4776,19.7893,0.0,210.0893,230.9207,350.1534,-8.5,-13.0,0.8824,0.7907,0.4805,0.0391,0.4805,0.4805,0.0391,0.4805,-0.1061,0.0152,-0.0437,-0.0437,0.2445,-0.2445,-9.5,,,-13.0,,,,,,47.5,,,0.816,0.8848,62.5
15,2009_01_LAC_OAK,1427.0,1568.0,34.3,0.0,-0.0,-28.2,0.0,0.0,-3.8022,10.2835,-14.0858,0.0,-120.7858,-143.3017,-280.8032,5.5,10.5,0.1657,0.3047,0.5,0.0,0.5,0.5,0.0,0.5,0.0508,-0.1417,-0.0455,-0.0455,-0.3262,0.3262,6.5,,,10.5,,,,,,43.0,,,0.2652,0.1616,62.5
16,2009_02_CAR_ATL,1536.2434,1504.2448,56.1,0.0,-0.0,-28.2,21.8,0.0,3.5804,-20.2216,23.8019,0.0,111.9006,143.4207,118.5309,-5.5,-4.5,0.6643,0.6954,0.4286,0.0488,0.5226,0.5226,0.0488,0.4286,-0.2158,0.1323,-0.133,0.0465,-0.1317,0.1311,-7.0,,,-6.0,,,,,,43.5,,,0.7498,0.7193,62.5
17,2009_02_MIN_DET,1289.1721,1576.7108,45.5,0.0,-0.0,-28.2,0.0,11.2,3.0862,-0.8173,3.9035,0.0,-238.1352,-260.5138,-245.3575,9.5,9.0,0.1959,0.1825,0.5152,0.0689,0.416,0.416,0.0689,0.5152,0.0882,-0.1791,0.0524,-0.137,0.0657,-0.0657,10.5,,,10.0,,,,,,45.0,-109.0,-101.0,0.1616,0.1725,62.5
18,2009_02_CIN_GB,1533.9504,1439.9984,73.1,0.0,-0.0,-0.0,21.8,-11.2,2.8459,0.71,2.1359,0.0,169.1879,199.585,175.0841,-7.5,-6.5,0.7326,0.7593,0.3853,0.0258,0.5889,0.5889,0.0258,0.3853,-0.1321,0.0439,-0.2387,0.1501,-0.057,0.057,-9.0,,,-8.0,,,,,,42.0,,,0.804,0.7781,62.5
19,2009_02_ARI_JAX,1475.7629,1534.1422,84.875,0.0,-0.0,-0.0,0.0,22.375,-2.9351,6.881,-9.8161,0.0,16.6796,59.0794,23.5481,-2.0,-1.0,0.5338,0.5842,0.3525,0.0885,0.559,0.559,0.0885,0.3525,-0.3256,0.2347,-0.2385,0.1557,-0.1862,0.1862,-4.5,,,-3.0,-115.0,-105.0,,,,42.5,-110.0,100.0,0.6694,0.6155,62.5
20,2009_02_OAK_KC,1357.0826,1430.1996,56.675,0.0,-0.0,-28.2,0.0,22.375,42.4466,-8.6084,51.0549,0.0,34.6129,58.9101,44.6413,-2.0,-1.5,0.5639,0.584,0.3789,0.0944,0.5267,0.5267,0.0944,0.3789,-0.2579,0.167,-0.1822,0.0998,-0.1098,0.1098,-3.5,,,-3.0,,,,,,40.0,,,0.6339,0.6155,62.5
21,2009_02_NE_NYJ,1495.0965,1600.0315,34.3,0.0,-0.0,-28.2,0.0,0.0,2.3042,28.0059,-25.7016,0.0,-96.3367,-136.1872,-96.3309,5.0,3.5,0.3648,0.3135,0.5,0.0,0.5,0.5,0.0,0.5,-0.0444,-0.0444,-0.0455,-0.0455,0.1054,-0.1055,5.0,,,3.5,,,,,,45.0,,,0.3135,0.3661,62.5
22,2009_02_NO_PHI,1628.8806,1555.5836,95.5,0.0,-0.0,-0.0,21.8,11.2,-64.6135,27.4466,-92.0601,0.0,76.7369,46.0345,-65.5109,-1.5,2.5,0.4068,0.5659,0.5,0.0988,0.4012,0.4012,0.0988,0.5,0.0823,-0.173,0.0533,-0.1353,-0.2205,0.2205,0.0,,,3.0,,,,,,46.0,,,0.5,0.3845,62.5
23,2009_02_HOU_TEN,1596.327,1492.792,34.3,0.0,-0.0,-28.2,0.0,0.0,1.8787,2.3515,-0.4728,0.0,137.3622,169.5939,144.4715,-6.0,-5.5,0.6967,0.7264,0.3682,0.0814,0.5504,0.5504,0.0814,0.3682,-0.2794,0.1907,-0.2157,0.1322,-0.1143,0.1143,-8.0,,,-7.0,,,,,,40.5,,,0.7781,0.7498,62.5
24,2009_02_LAR_WAS,1491.9967,1310.584,95.5,0.0,-0.0,-0.0,21.8,11.2,2.8673,-12.4966,15.364,0.0,292.2767,272.4018,258.7817,-10.0,-9.5,0.816,0.8275,0.5,0.0,0.5,0.5,0.0,0.5,-0.0423,-0.0423,-0.0455,-0.0455,-0.0669,0.067,-10.0,,,-9.5,-110.0,-110.0,,,,37.0,-105.0,-105.0,0.8275,0.816,62.5
25,2009_02_TB_BUF,1460.1075,1432.0208,84.3,0.0,-0.0,-0.0,21.8,0.0,5.1982,-2.6595,7.8576,0.0,120.2443,122.5808,108.9607,-4.5,-4.0,0.6519,0.6694,0.4772,0.0456,0.4772,0.4772,0.0456,0.4772,-0.0455,-0.0455,-0.0434,-0.0434,-0.0436,0.0436,-4.5,,,-4.0,-110.0,-110.0,,,,42.0,-103.0,-107.0,0.6694,0.6519,62.5
26,2009_02_SEA_SF,1469.3177,1479.2326,56.1,0.0,-0.0,-28.2,21.8,0.0,0.4019,-3.3964,3.7983,0.0,49.9834,29.6751,49.0734,-1.0,-2.0,0.5702,0.5426,0.5151,0.0551,0.4298,0.4298,0.0551,0.5151,0.0379,-0.1286,0.0384,-0.1243,0.0747,-0.0747,0.0,,,-1.0,-110.0,-110.0,,,,39.5,-110.0,100.0,0.5,0.5391,62.5
27,2009_02_PIT_CHI,1489.7637,1641.0508,73.7,0.0,-0.0,-0.0,0.0,11.2,21.2924,1.4167,19.8758,0.0,-57.7114,-81.7205,-81.7205,3.0,3.0,0.3845,0.3845,0.4425,0.115,0.4425,0.4425,0.115,0.4425,-0.0402,-0.0402,-0.0402,-0.0402,0.0,0.0,3.0,,,3.0,,,,,,37.5,-103.0,-107.0,0.3845,0.3845,62.5
28,2009_02_CLE_DEN,1462.767,1384.1088,84.875,0.0,-0.0,-0.0,0.0,22.375,-23.0241,5.569,-28.5931,0.0,134.9401,113.6398,113.6398,-4.0,-4.0,0.6579,0.6579,0.5228,0.0924,0.3849,0.3849,0.0924,0.5228,0.0904,-0.1729,0.0904,-0.1729,0.0,0.0,-3.0,,,-3.0,,,,,,38.5,,,0.6155,0.6155,62.5
29,2009_02_BAL_LAC,1565.6825,1616.7437,106.675,0.0,-0.0,-0.0,21.8,22.375,6.9219,1.6905,5.2314,0.0,60.8451,95.3406,0.0,-3.5,-0.0,0.5,0.6339,0.5,0.002,0.498,0.498,0.002,0.5,-0.0455,-0.0455,-0.0435,-0.0473,-0.2769,0.2769,-3.5,,,0.0,,,,,,40.0,-106.0,-104.0,0.6339,0.5,62.5
30,2009_02_NYG_DAL,1589.8528,1591.6672,45.5,0.0,-0.0,-28.2,0.0,11.2,16.907,-0.8487,17.7556,0.0,61.4412,68.1004,81.7205,-2.5,-3.0,0.6155,0.5968,0.4425,0.115,0.4425,0.4425,0.115,0.4425,-0.0455,-0.0455,-0.0402,-0.0402,0.1098,-0.1098,-2.5,,,-3.0,,,,,,45.5,,,0.5968,0.6155,62.5
31,2009_02_IND_MIA,1503.9584,1601.8029,84.3,0.0,-0.0,-0.0,21.8,0.0,1.175,12.9438,-11.7688,0.0,-25.3133,-47.882,-47.882,2.0,2.0,0.4315,0.4315,0.515,0.0966,0.3884,0.3884,0.0966,0.515,0.0798,-0.162,0.0798,-0.162,0.0,0.0,3.0,,,3.0,-110.0,-110.0,,,,41.0,-104.0,-106.0,0.3845,0.3845,62.5
32,2009_03_CLE_BAL,1636.3401,1373.4691,56.1,0.0,-0.0,-28.2,21.8,0.0,3.4174,-1.8106,5.228,0.0,324.199,347.0702,333.0056,-12.5,-12.0,0.8718,0.8806,0.4513,0.0,0.5487,0.5487,0.0,0.4513,-0.1766,0.0913,-0.1384,0.0475,-0.063,0.063,-14.0,,,-13.5,-110.0,-110.0,,,,38.5,-110.0,100.0,0.8998,0.8925,62.5
33,2009_03_WAS_DET,1276.5982,1477.2119,84.3,0.0,-0.0,-0.0,21.8,0.0,-0.9227,6.1738,-7.0965,0.0,-123.4103,-163.4243,-163.4243,6.0,6.0,0.2807,0.2807,0.4736,0.0527,0.4736,0.4736,0.0527,0.4736,-0.0431,-0.0431,-0.0431,-0.0431,0.0,0.0,6.0,,,6.0,-110.0,-110.0,,,,39.5,-108.0,-102.0,0.2807,0.2807,62.5
34,2009_03_JAX_HOU,1501.6739,1464.9008,23.1,0.0,-0.0,-28.2,0.0,-11.2,15.916,-3.1096,19.0256,0.0,78.8988,95.3406,108.9607,-3.5,-4.0,0.6519,0.6339,0.4772,0.0456,0.4772,0.4772,0.0456,0.4772,-0.0455,-0.0455,-0.0434,-0.0434,0.0436,-0.0436,-3.5,,,-4.0,-110.0,-110.0,,,,47.0,-112.0,102.0,0.6339,0.6519,62.5
35,2009_03_SF_MIN,1587.5697,1478.8988,106.675,0.0,-0.0,-0.0,21.8,22.375,2.2298,-0.6579,2.8878,0.0,218.2337,177.128,177.128,-6.5,-6.5,0.7349,0.7349,0.5,0.0,0.5,0.5,0.0,0.5,-0.0455,-0.0455,-0.0455,-0.0455,0.0,0.0,-6.5,,,-6.5,-110.0,-110.0,,,,39.0,-102.0,-108.0,0.7348,0.7348,62.5
36,2009_03_ATL_NE,1590.7876,1549.9897,62.5,0.0,-0.0,-0.0,0.0,0.0,16.8662,10.6333,6.2329,0.0,109.5307,122.5808,122.5808,-4.5,-4.5,0.6694,0.6694,0.5,0.0,0.5,0.5,0.0,0.5,-0.0455,-0.0455,-0.0455,-0.0455,0.0,0.0,-4.5,,,-4.5,-110.0,-110.0,,,,45.5,100.0,-110.0,0.6694,0.6694,62.5
37,2009_03_TEN_NYJ,1504.0647,1587.7925,95.5,0.0,-0.0,-0.0,21.8,11.2,0.9355,2.7442,-1.8087,0.0,9.9636,38.6735,10.0363,-1.5,-0.5,0.5144,0.5554,0.4897,0.0248,0.4856,0.4856,0.0248,0.4897,-0.1825,0.1002,-0.0404,-0.0483,-0.2068,0.2043,-3.0,,,-1.0,-110.0,-110.0,,,,36.5,104.0,-114.0,0.6155,0.5391,62.5
38,2009_03_KC_PHI,1564.1679,1352.6397,73.7,0.0,-0.0,-0.0,0.0,11.2,-57.9397,40.3778,-98.3175,0.0,186.9107,215.6663,186.9853,-8.0,-7.0,0.7458,0.7758,0.4545,0.0,0.5455,0.5455,0.0,0.4545,-0.1323,0.0414,-0.1323,0.0414,-0.1167,0.1167,-9.5,,,-7.5,-110.0,-110.0,,,,38.5,-105.0,-105.0,0.816,0.7642,62.5
39,2009_03_GB_LAR,1325.0815,1523.3747,84.3,0.0,-0.0,-0.0,21.8,0.0,-8.8698,-0.3551,-8.5147,0.0,-122.5078,-149.784,-135.1632,5.5,5.0,0.3147,0.2969,0.5609,0.0,0.4391,0.4391,0.0,0.5609,0.1316,-0.2151,0.0708,-0.1617,0.0846,-0.0849,7.0,,,6.5,,,,,,42.5,-107.0,-103.0,0.2502,0.2652,62.5
40,2009_03_NYG_TB,1423.7909,1597.6795,84.3,0.0,-0.0,-0.0,21.8,0.0,-2.4724,11.2241,-13.6965,0.0,-103.285,-154.42,-113.9043,5.5,4.0,0.3417,0.2913,0.5911,0.0,0.4089,0.4089,0.0,0.5911,0.2282,-0.317,0.1284,-0.2193,0.194,-0.1942,8.0,,,6.5,,,,,,46.0,-110.0,100.0,0.2219,0.2652,62.5
41,2009_03_NO_BUF,1467.924,1620.4488,51.3,0.0,-0.0,-0.0,0.0,-11.2,9.6351,28.5701,-18.9349,0.0,-120.1597,-108.9607,-163.4411,4.0,6.0,0.2807,0.3481,0.4736,0.0527,0.4736,0.4736,0.0527,0.4736,-0.0434,-0.0434,-0.0431,-0.0431,-0.125,0.1243,4.0,,,6.0,,,,,,51.5,-101.0,-109.0,0.3481,0.2807,62.5
42,2009_03_CHI_SEA,1469.7215,1493.8717,84.3,0.0,-0.0,-0.0,21.8,0.0,27.5772,24.9356,2.6416,0.0,62.7914,26.7698,-50.2009,-1.0,2.0,0.4283,0.5384,0.5151,0.0965,0.3884,0.3884,0.0965,0.5151,0.055,-0.1438,0.0799,-0.162,-0.1945,0.1901,1.0,,,3.0,,,,,,37.5,-108.0,-102.0,0.4609,0.3845,62.5
43,2009_03_PIT_CIN,1450.5394,1638.2028,56.1,0.0,-0.0,-28.2,21.8,0.0,3.4852,4.7068,-1.2216,0.0,-132.785,-122.5808,-81.7205,4.5,3.0,0.3845,0.3306,0.4425,0.115,0.4425,0.4425,0.115,0.4425,-0.0455,-0.0455,-0.0402,-0.0402,0.1862,-0.1862,4.5,,,3.0,,,,,,36.5,-107.0,-103.0,0.3306,0.3845,62.5
44,2009_03_DEN_OAK,1434.234,1473.3443,34.3,0.0,-0.0,-28.2,0.0,-0.0,-16.9438,-16.7816,-0.1623,0.0,-4.9725,27.2402,-68.1004,-1.0,2.5,0.4032,0.5391,0.5,0.0,0.5,0.5,0.0,0.5,-0.0419,-0.0419,-0.0455,-0.0455,-0.208,0.2029,-1.0,,,2.5,-110.0,-110.0,,,,38.5,102.0,-112.0,0.5391,0.4032,62.5
45,2009_03_MIA_LAC,1546.733,1496.0021,84.875,0.0,-0.0,-0.0,0.0,22.375,9.3986,-1.9809,11.3795,0.0,146.9854,189.3276,145.0651,-7.0,-5.5,0.6974,0.7484,0.5,0.0203,0.4797,0.4797,0.0203,0.5,-0.0413,-0.0413,-0.0252,-0.0639,-0.1929,0.1919,-7.0,,,-5.0,,,,,,45.0,-105.0,-105.0,0.7498,0.6865,62.5
46,2009_03_IND_ARI,1545.0368,1613.3337,106.675,0.0,-0.0,-0.0,21.8,22.375,12.7554,14.6295,-1.8741,0.0,36.5041,27.2402,81.7205,-1.0,-3.0,0.6155,0.5391,0.4425,0.115,0.4425,0.4425,0.115,0.4425,-0.0419,-0.0419,-0.0402,-0.0402,0.1929,-0.1976,-1.0,,,-3.0,-115.0,-105.0,,,,49.0,103.0,-113.0,0.5391,0.6155,62.5
47,2009_03_CAR_DAL,1584.2373,1493.021,95.5,0.0,-0.0,-0.0,21.8,11.2,7.3472,-13.6421,20.9893,0.0,207.7056,239.0399,207.9352,-9.0,-7.5,0.768,0.7984,0.4694,0.0,0.5306,0.5306,0.0,0.4694,-0.2063,0.1154,-0.1038,0.0129,-0.1889,0.1889,-10.5,,,-8.5,-110.0,-110.0,,,,48.0,-104.0,-106.0,0.8384,0.7913,62.5
