,season,week,team,nfelo_base,qb_adj,nfelo,pts_vs_avg
0,2025,18,SEA,1686.4522707527003,-11.22924518585205,1675.2230255668485,7.287371024105733
1,2025,19,LAR,1662.8284021403929,0.0,1662.8284021403929,3.707176341599734
2,2025,19,BUF,1620.1751695302082,0.0,1620.1751695302082,2.0010470371923477
3,2025,18,DET,1601.133972852261,-0.912854790687561,1600.2211180615734,4.287294723894738
4,2025,19,SF,1590.1727363302737,0.0,1590.1727363302737,0.8009497091949652
5,2025,19,NE,1588.9202056641177,0.0,1588.9202056641177,0.7508484825487267
6,2025,19,HOU,1576.0420006087304,0.0,1576.0420006087304,0.23572028033323478
7,2025,19,JAX,1573.198859231484,0.0,1573.198859231484,0.12199462524337833
8,2025,18,DEN,1554.9546177312109,13.0653715133667,1568.0199892445776,2.999249571214905
9,2025,19,PHI,1567.0991279693148,0.0,1567.0991279693148,-0.12199462524338742
10,2025,18,BAL,1591.42083514765,-29.38278579711914,1562.0380493505309,2.759971975453036
11,2025,19,CHI,1549.220623277231,0.0,1549.220623277231,-0.8371348129267426
12,2025,19,PIT,1504.8076923895812,0.0,1504.8076923895812,-2.613652048432732
13,2025,18,CIN,1496.7329003778827,6.952858924865723,1503.6857593027485,0.4258803735417404
14,2025,18,DAL,1481.3394243001133,9.913384437561035,1491.2528087376745,-0.0714376490612267
15,2025,18,ATL,1459.4406285611767,28.152379989624023,1487.5930085508007,-0.2178296565361688
16,2025,19,LAC,1463.531310766532,0.0,1463.531310766532,-4.264707313354702
17,2025,19,GB,1448.6314221657185,0.0,1448.6314221657185,-4.860702857387241
18,2025,18,TB,1454.9669890418925,-16.235666275024414,1438.731322766868,-2.1722970878934755
19,2025,18,MIN,1487.3994050736076,-52.56637573242188,1434.8330293411857,-2.3282288249207705
20,2025,18,NYG,1442.6782534895283,-11.961410522460938,1430.7168429670674,-2.492876279885504
21,2025,18,KC,1542.3305453181151,-116.64997100830078,1425.6805743098143,-2.6943270261756243
22,2025,18,NO,1409.4833554477214,10.823471069335938,1420.3068265170573,-2.9092769378859065
23,2025,19,CAR,1390.3847508414703,0.0,1390.3847508414703,-7.190569710357168
24,2025,18,IND,1461.4813877602123,-74.46968078613281,1387.0117069740795,-4.241081719605018
25,2025,18,CLE,1412.3417985216752,-26.737777709960938,1385.6040208117142,-4.297389166099629
26,2025,18,MIA,1434.9442927943994,-75.94487762451172,1358.9994151698877,-5.361573391772691
27,2025,18,ARI,1370.5646289940566,-35.92096710205078,1334.643661892006,-6.3358035228879634
28,2025,18,TEN,1328.5462638727524,2.602585792541504,1331.148849665294,-6.475596011956441
29,2025,18,WAS,1421.2423799933135,-103.78157043457033,1317.4608095587432,-7.023117616218469
30,2025,18,OAK,1294.6011073022366,-9.431206703186035,1285.1699005990506,-8.314753974606173
31,2025,18,NYJ,1299.1302417819036,-76.92742156982422,1222.2028202120794,-10.833437190085023
