,game_id,starting_nfelo_home,starting_nfelo_away,hfa_mod,home_bye_mod,away_bye_mod,div_game_mod,dif_surface_mod,home_time_advantage_mod,home_538_qb_adj,away_538_qb_adj,home_net_qb_mod,home_net_bye_mod,nfelo_dif_base,nfelo_dif_open,nfelo_dif_close,nfelo_home_line_open,nfelo_home_line_close,nfelo_home_probability_close,nfelo_home_probability_open,nfelo_home_cover_prob_close,nfelo_home_push_prob_close,nfelo_home_loss_prob_close,nfelo_away_cover_prob_close,nfelo_away_push_prob_close,nfelo_away_loss_prob_close,home_open_ev,away_open_ev,home_close_ev,away_close_ev,home_line_open,home_line_open_price,away_line_open_price,home_line_close,home_line_close_price,away_line_close_price,total_line_open,under_price_open,over_price_open,total_line_close,under_price_close,over_price_close,home_implied_win_probability_open,home_implied_win_probability_close,hfa_base_mod
0,2009_01_TEN_PIT,1645.0,1593.0,51.30000305175781,0.0,-0.0,-0.0,0.0,-11.200000762939453,-3.8935115337371826,-1.7163139581680298,-2.177197575569153,0.0,101.12280547618866,123.81064888760712,134.7474159382301,-5.0,-5.5,0.6847458218381964,0.671,0.4691930464397922,0.0,0.530806953560203,0.530806953560203,0.0,0.4691930464397922,-0.045022685346706066,-0.04502268534670707,-0.10426782043311922,0.013358729524028641,-5.0,,,-6.5,,,,,,35.5,-106.0,-104.0,0.671,0.71,62.5
1,2009_01_MIA_ATL,1528.0,1514.0,84.30000305175781,0.0,-0.0,-0.0,21.799999237060547,0.0,0.7221028208732605,6.574875354766846,-5.852772533893585,0.0,92.44723051786423,105.25183011235117,105.25183011235117,-4.0,-4.0,0.647,0.647,0.4816875201217007,0.0366249597565939,0.48168752012170035,0.48168752012170035,0.0366249597565939,0.4816875201217007,-0.043789774556517946,-0.04378977455651855,-0.043789774556517946,-0.04378977455651855,-4.0,,,-4.0,-110.0,-110.0,,,,44.0,-103.0,-107.0,0.647,0.647,62.5
2,2009_01_KC_BAL,1614.0,1359.0,95.5,0.0,-0.0,-0.0,21.799999237060547,11.200000762939453,-7.235311031341553,-12.705034255981445,5.469723224639893,0.0,355.9697232246399,289.9718413185475,311.4384367989136,-12.5,-13.5,0.8572682340018908,0.8414707450949723,0.4999999999999978,0.0422858699179664,0.4577141300820311,0.4577141300820311,0.0422858699179664,0.4999999999999978,0.19110193168224965,-0.2791205656085477,-0.0031686755365786545,-0.08389624537996954,-9.0,,,-13.0,-110.0,-110.0,,,,36.5,-103.0,-107.0,0.777,0.849,62.5
3,2009_01_PHI_CAR,1530.0,1604.0,62.5,0.0,-0.0,-0.0,0.0,0.0,-4.773684501647949,10.227622985839844,-15.001307487487793,0.0,-26.501307487487793,-0.08998409292361131,-46.13068067030432,0.0,2.5,0.43399999999999994,0.49987050248353776,0.4999999999999975,0.0,0.4999999999999977,0.4999999999999977,0.0,0.4999999999999975,-0.08811690533206724,-0.0001118244128892811,-0.04545454545454544,-0.04545454545454504,-2.0,,,2.5,-110.0,-110.0,,,,43.5,-103.0,-107.0,0.542,0.434,62.5
4,2009_01_DEN_CIN,1452.0,1451.0,106.67500305175781,0.0,-0.0,-0.0,21.799999237060547,22.375,7.419946193695068,-26.95830726623535,34.37825345993042,0.0,142.05325651168823,74.66543088570019,116.00070451302327,-3.0,-4.5,0.661,0.6058280036203888,0.4999999999999979,0.0,0.4999999999999978,0.4999999999999978,0.0,0.4999999999999979,0.1706831414729057,-0.26153501371241494,-0.045454545454545185,-0.04545454545454539,0.0,,,-4.5,,,,,,41.0,-112.0,102.0,0.5,0.661,62.5
5,2009_01_MIN_CLE,1423.0,1538.0,95.5,0.0,-0.0,-0.0,21.799999237060547,11.200000762939453,8.14298152923584,2.7206475734710693,5.4223339557647705,0.0,-14.07766604423523,-57.17165655770407,-64.20198548135848,3.0,3.0,0.4086433975040527,0.4184580388267358,0.5987781529859159,0.0,0.4012218470140797,0.4012218470140797,0.0,0.5987781529859159,-0.040553967626166455,-0.04055396762616549,0.14312192842766194,-0.2340310193367525,3.0,,,4.5,-110.0,-110.0,,,,39.5,100.0,-110.0,0.403,0.334,62.5
6,2009_01_NYJ_HOU,1505.0,1483.0,73.0999984741211,0.0,-0.0,-0.0,21.799999237060547,-11.200000762939453,11.079176902770996,0.6277722120285034,10.451404690742493,0.0,105.55140316486359,88.73949984654253,116.00070451302327,-3.5,-4.5,0.661,0.625,0.4999999999999979,0.0,0.4999999999999978,0.4999999999999978,0.0,0.4999999999999979,-0.04545454545454504,-0.045454545454545595,-0.045454545454545185,-0.04545454545454539,-3.5,,,-4.5,-110.0,-110.0,,,,44.5,101.0,-111.0,0.625,0.661,62.5
7,2009_01_JAX_IND,1615.0,1463.0,56.099998474121094,0.0,-0.0,-28.200000762939453,21.799999237060547,0.0,14.498017311096191,1.273829460144043,13.224187850952148,0.0,221.32418632507324,190.24646866456592,186.9125148182413,-7.5,-7.5,0.7457277276180925,0.7493496405924241,0.5880158972880535,0.0,0.4119841027119418,0.4119841027119418,0.0,0.5880158972880535,0.042561351833510855,-0.12546899753459637,0.12257580391356133,-0.21348489482265193,-7.0,,,-6.5,-110.0,-110.0,,,,45.0,-105.0,-105.0,0.728,0.71,62.5
8,2009_01_DET_NO,1517.0,1329.0,51.30000305175781,0.0,-0.0,-0.0,0.0,-11.200000762939453,16.690595626831055,12.390052795410156,4.300542831420898,0.0,243.6005458831787,270.57231961511303,309.9978644358514,-11.5,-13.5,0.8562505469777747,0.8260000000000001,0.41864461516610585,0.0813553848338919,0.4999999999999975,0.4999999999999975,0.0813553848338919,0.41864461516610585,-0.04545454545454509,-0.04545454545454549,-0.11941398621262855,0.035900839379346405,-11.5,,,-14.0,-110.0,-110.0,,,,50.0,105.0,-115.0,0.826,0.873,62.5
9,2009_01_DAL_TB,1484.0,1536.0,95.5,0.0,-0.0,-0.0,21.799999237060547,11.200000762939453,-11.277437210083008,8.002553939819336,-19.279991149902344,0.0,24.220008850097656,-16.840665741820253,-50.41955545470037,1.0,2.5,0.42794553025157467,0.47578329632024724,0.6177606632497882,0.0085417202137438,0.3736976165364632,0.3736976165364632,0.0085417202137438,0.6177606632497882,0.08717374633512474,-0.1720355594213803,0.18790298641788963,-0.2780355573075489,3.0,,,5.0,-110.0,-110.0,,,,40.0,103.0,-113.0,0.403,0.325,62.5
