win_prob,spread_mult,implied_spread
0.265,-15.8,7.00
0.266,-15.88,7.00
0.267,-15.96,7.00
0.268,-16.041,7.00
0.269,-16.123,7.00
0.27,-16.205,7.00
0.271,-16.288,7.00
0.272,-16.372,7.00
0.273,-16.456,7.00
0.274,-16.541,7.00
0.275,-16.627,7.00
0.276,-16.713,7.00
0.277,-15.6,6.50
0.278,-15.682,6.50
0.279,-15.764,6.50
0.28,-15.847,6.50
0.281,-15.93,6.50
0.282,-16.015,6.50
0.283,-16.1,6.50
0.284,-16.185,6.50
0.285,-16.272,6.50
0.286,-16.359,6.50
0.287,-16.447,6.50
0.288,-16.536,6.50
0.289,-16.625,6.50
0.29,-16.716,6.50
0.291,-16.807,6.50
0.292,-16.898,6.50
0.293,-16.991,6.50
0.294,-17.085,6.50
0.295,-15.858,6.00
0.296,-15.946,6.00
0.297,-16.034,6.00
0.298,-16.124,6.00
0.299,-16.214,6.00
0.3,-16.305,6.00
0.301,-16.397,6.00
0.302,-16.49,6.00
0.303,-16.584,6.00
0.304,-16.679,6.00
0.305,-16.775,6.00
0.306,-16.871,6.00
0.307,-16.969,6.00
0.308,-17.067,6.00
0.309,-17.166,6.00
0.31,-15.828,5.50
0.311,-15.921,5.50
0.312,-16.015,5.50
0.313,-16.11,5.50
0.314,-16.205,5.50
0.315,-16.302,5.50
0.316,-16.4,5.50
0.317,-16.499,5.50
0.318,-16.598,5.50
0.319,-16.699,5.50
0.32,-16.801,5.50
0.321,-15.367,5.00
0.322,-15.462,5.00
0.323,-15.558,5.00
0.324,-15.654,5.00
0.325,-15.752,5.00
0.326,-15.851,5.00
0.327,-15.951,5.00
0.328,-16.052,5.00
0.329,-14.538,4.50
0.33,-14.631,4.50
0.331,-14.725,4.50
0.332,-14.82,4.50
0.333,-14.916,4.50
0.334,-15.014,4.50
0.335,-15.112,4.50
0.336,-15.212,4.50
0.337,-15.312,4.50
0.338,-15.414,4.50
0.339,-15.517,4.50
0.34,-13.886,4.00
0.341,-13.98,4.00
0.342,-14.075,4.00
0.343,-14.171,4.00
0.344,-14.268,4.00
0.345,-14.367,4.00
0.346,-14.466,4.00
0.347,-14.568,4.00
0.348,-14.67,4.00
0.349,-14.773,4.00
0.35,-14.878,4.00
0.351,-14.985,4.00
0.352,-15.092,4.00
0.353,-15.202,4.00
0.354,-15.312,4.00
0.355,-15.424,4.00
0.356,-15.538,4.00
0.357,-13.696,3.50
0.358,-13.798,3.50
0.359,-13.902,3.50
0.36,-14.007,3.50
0.361,-14.113,3.50
